number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.8561821486194783,0.018861783060632045,0.8469904750169943,logloss,1.829281540471434,0.02620957019546447,17,222,binary:logistic,0.6277172253356633,gpu_hist,COMPLETE
1,0.8450900708320221,0.019579100923162913,0.8099781511815174,logloss,4.176437928800415,0.0036042511385325684,9,203,binary:logistic,0.7145457597631932,gpu_hist,COMPLETE
2,0.8563256446219034,7.025011108946065,0.8027750504317854,logloss,0.3758702821272746,0.06832577216536033,5,51,binary:logistic,0.6175392404071117,gpu_hist,COMPLETE
3,0.8489854089978535,3.703056117679083,0.4266080284391124,logloss,8.307644775816682,0.003600086572611303,20,284,binary:logistic,0.6144822254021358,gpu_hist,COMPLETE
4,0.8493042390032416,0.00944462330891141,0.5327066305880493,logloss,0.08549502995206706,0.00408663926955717,11,151,binary:logistic,0.9453063090164657,gpu_hist,COMPLETE
5,0.8421830643828938,0.07542257306276519,0.6541166214292384,logloss,0.22931245318655918,0.00522302362284625,5,171,binary:logistic,0.8684363237985304,gpu_hist,COMPLETE
6,0.8482321663351235,6.052373992935492,0.4181301261144592,logloss,9.991135897420765,0.015959853593394732,3,68,binary:logistic,0.5901679681657938,gpu_hist,COMPLETE
7,0.8432472207008779,0.01671010179989865,0.7395094947464593,logloss,1.8012910237451603,0.001618004246195588,17,219,binary:logistic,0.687787872842589,gpu_hist,COMPLETE
8,0.8306185023374527,8.716649778098395,0.9014761134237372,logloss,0.06232274138281997,0.0014268073691639969,5,53,binary:logistic,0.9968051446962173,gpu_hist,COMPLETE
9,0.8440271761140593,0.10613405534392842,0.9941411150164885,logloss,0.27905649772154273,0.002710169435836491,17,211,binary:logistic,0.8049731457831751,gpu_hist,COMPLETE
10,0.8420553166307349,0.8021005554129921,0.3036232598897418,logloss,0.00242291540425231,0.09692840578104217,13,11,binary:logistic,0.4637927422071475,gpu_hist,COMPLETE
11,0.8538160126794906,0.0026707172178456156,0.8014086897212186,logloss,0.8873403533396192,0.03830804034413338,15,111,binary:logistic,0.4679803868772042,gpu_hist,COMPLETE
12,0.8567201605285706,0.6213958665467241,0.9036593889239386,logloss,0.014728159024324302,0.0339686217828036,7,276,binary:logistic,0.583130706952623,gpu_hist,COMPLETE
13,0.8537348999781198,0.9098329552382437,0.9919437474044092,logloss,0.012664373970369451,0.09434881517276363,7,291,binary:logistic,0.5367941011422452,gpu_hist,COMPLETE
14,0.8560756690176787,0.9776046508374401,0.6813367951795102,logloss,0.01380212292776595,0.04016522956322349,7,95,binary:logistic,0.40010772759178637,gpu_hist,COMPLETE
15,0.850154614467613,0.25810455045383096,0.8967314498904345,logloss,0.019475432140596164,0.011374101121239648,5,4,binary:logistic,0.7331703031353439,gpu_hist,COMPLETE
16,0.8565272717753109,2.3180848904289486,0.5700539026921819,logloss,0.0017894025768398414,0.04918996601694353,7,262,binary:logistic,0.5360743539844828,gpu_hist,COMPLETE
17,0.8561178934183925,1.5174025059791258,0.55852509093281,logloss,0.0015355304710661236,0.02199053408158298,7,257,binary:logistic,0.5278411171501348,gpu_hist,COMPLETE
18,0.8565591674758499,0.23091828619791063,0.5817964528035728,logloss,0.00425645229256107,0.0389636657212083,7,254,binary:logistic,0.5259288773412768,gpu_hist,COMPLETE
19,0.8511584660345781,0.27758296634195145,0.4890511145900429,logloss,0.03615764922854146,0.00868497519681564,7,250,binary:logistic,0.40422159765596183,gpu_hist,COMPLETE
20,0.85642307017355,0.3251957585014959,0.717150020256353,logloss,0.005585485774424713,0.023146859056363878,20,182,binary:logistic,0.6810346379022978,gpu_hist,COMPLETE
21,0.856039582167069,2.2485201497264184,0.5887098241725284,logloss,0.0044199905620685214,0.05748072254259287,7,256,binary:logistic,0.5464538703036877,gpu_hist,COMPLETE
22,0.856541484475551,0.081011295644827,0.6106011643174393,logloss,0.0010951419567274043,0.04362362771959449,7,293,binary:logistic,0.4831657184155627,gpu_hist,COMPLETE
23,0.8567102529284032,0.062366516125542164,0.6380313492937231,logloss,0.0011037135226331088,0.03167415765819756,7,300,binary:logistic,0.47714895771012045,gpu_hist,COMPLETE
24,0.8466572451585075,0.052407474070365764,0.4793961403892172,logloss,0.004014823255363281,0.013181498189222329,3,300,binary:logistic,0.47638615757493885,gpu_hist,COMPLETE
25,0.8566564020274932,0.4506742898317358,0.7297159886387178,logloss,0.008070227654457625,0.027812289053501294,9,237,binary:logistic,0.5872971417515171,gpu_hist,COMPLETE
26,0.8517730378449643,0.6110714363076997,0.740457050820176,logloss,0.007711849899254811,0.007486901929483964,9,231,binary:logistic,0.5774971312824559,gpu_hist,COMPLETE
27,0.8565792442761893,0.14762914118060474,0.9279049392693333,logloss,0.02970567642437275,0.02989356860696593,9,273,binary:logistic,0.7723621389833822,gpu_hist,COMPLETE
28,0.8563862788729281,0.001054951773189885,0.6817969255793298,logloss,0.002603597891791549,0.01694393871024356,11,238,binary:logistic,0.6371166856695444,gpu_hist,COMPLETE
